iter	Passed	Remaining
458	801	944
459	804	943
460	814	952
461	815	949
462	816	946
463	816	943
464	819	942
465	830	951
466	831	948
467	832	945
468	832	942
469	832	939
470	833	936
471	833	932
472	834	929
473	834	926
474	835	923
475	835	919
476	836	916
477	836	913
478	837	910
479	837	907
480	837	904
481	838	900
482	838	897
483	839	894
484	840	892
485	840	889
486	841	886
487	841	882
488	841	879
489	842	876
490	842	873
491	843	870
492	843	867
493	844	864
494	844	861
495	845	858
496	845	855
497	845	852
498	846	849
499	846	846
500	847	843
501	847	840
502	848	838
503	848	835
504	849	832
505	849	829
506	850	826
507	850	823
508	851	820
509	851	818
510	851	815
511	852	812
512	852	809
513	853	806
514	853	804
515	854	801
516	855	798
517	855	796
518	855	793
519	856	790
520	856	787
521	857	784
522	857	782
523	858	779
524	858	776
525	859	774
526	859	771
527	860	768
528	860	766
529	860	763
530	861	760
531	861	758
532	862	755
533	862	752
534	863	750
535	863	747
536	864	744
537	864	742
538	864	739
539	865	737
540	865	734
541	866	731
542	866	729
543	867	726
544	867	724
545	868	721
546	868	719
547	869	716
548	869	714
549	870	711
550	870	709
551	871	706
552	871	704
553	872	702
554	872	699
555	872	697
556	873	694
557	873	692
558	874	689
559	874	687
560	875	684
561	875	682
562	876	680
563	876	677
564	876	675
565	877	672
566	877	670
567	878	668
568	878	665
569	879	663
570	879	660
571	880	658
572	880	656
573	881	653
574	881	651
575	881	649
576	882	646
577	882	644
578	883	642
579	883	640
580	884	637
581	884	635
582	885	633
583	885	630
584	886	628
585	886	626
586	887	624
587	887	621
588	888	619
589	888	617
590	888	615
591	889	612
592	889	610
593	890	608
594	890	606
595	896	607
596	905	610
597	905	608
598	906	606
599	906	604
600	907	602
601	907	600
602	908	597
603	908	595
604	909	593
605	909	591
606	909	589
607	910	586
608	910	584
609	911	582
610	914	581
611	924	586
612	928	586
613	940	591
614	945	591
615	955	595
616	955	593
617	956	591
618	956	588
619	957	586
620	957	584
621	958	582
622	958	580
623	959	577
624	959	575
625	960	573
626	960	571
627	960	569
628	961	567
629	961	564
630	962	562
631	962	560
632	963	558
633	963	556
634	964	554
635	964	552
636	965	549
637	965	547
638	965	545
639	966	543
640	966	541
641	967	539
642	967	537
643	968	535
644	968	533
645	969	531
646	969	529
647	970	527
648	970	525
649	971	523
650	971	520
651	972	518
652	972	516
653	973	514
654	973	512
655	974	510
656	974	508
657	974	506
658	975	504
659	975	502
660	976	500
661	976	498
662	977	496
663	977	494
664	978	492
665	978	490
666	979	488
667	979	486
668	980	484
669	980	482
670	981	481
671	981	479
672	982	477
673	982	475
674	982	473
675	983	471
676	983	469
677	984	467
678	984	465
679	985	463
680	985	461
681	986	459
682	986	457
683	987	455
684	987	454
685	987	452
686	988	450
687	988	448
688	989	446
689	989	444
690	990	442
691	990	440
692	991	439
693	991	437
694	992	435
695	992	433
696	993	431
697	993	429
698	994	428
699	994	426
700	995	424
701	995	422
702	996	420
703	996	418
704	996	417
705	997	415
706	997	413
707	998	411
708	998	409
709	999	408
710	999	406
711	999	404
712	1000	402
713	1000	400
714	1001	399
715	1001	397
716	1002	395
717	1002	393
718	1003	392
719	1003	390
720	1004	388
721	1004	386
722	1005	385
723	1005	383
724	1006	381
725	1006	379
726	1006	378
727	1007	376
728	1007	374
729	1008	372
730	1008	371
731	1009	369
732	1009	367
733	1010	366
734	1010	364
735	1011	362
736	1011	361
737	1012	359
738	1012	357
739	1013	355
740	1013	354
741	1014	352
742	1014	350
743	1014	349
744	1015	347
745	1015	345
746	1016	344
747	1016	342
748	1017	340
749	1017	339
750	1018	337
751	1018	335
752	1019	334
753	1019	332
754	1019	330
755	1020	329
756	1020	327
757	1021	326
758	1021	324
759	1022	322
760	1022	321
761	1023	319
762	1023	317
763	1024	316
764	1024	314
765	1025	313
766	1025	311
767	1026	309
768	1026	308
769	1026	306
770	1027	305
771	1027	303
772	1028	301
773	1028	300
774	1029	298
775	1029	297
776	1030	295
777	1030	294
778	1031	292
779	1031	290
780	1032	289
781	1032	287
782	1033	286
783	1033	284
784	1034	283
785	1034	281
786	1034	280
787	1035	278
788	1035	277
789	1036	275
790	1036	273
791	1037	272
792	1037	270
793	1038	269
794	1038	267
795	1039	266
796	1039	264
797	1040	263
798	1040	261
799	1040	260
800	1041	258
801	1041	257
802	1042	255
803	1042	254
804	1043	252
805	1043	251
806	1044	249
807	1044	248
808	1045	246
809	1045	245
810	1045	243
811	1046	242
812	1046	240
813	1047	239
814	1047	237
815	1048	236
816	1048	234
817	1049	233
818	1049	231
819	1050	230
820	1050	229
821	1050	227
822	1051	226
823	1051	224
824	1052	223
825	1052	221
826	1053	220
827	1053	218
828	1054	217
829	1054	216
830	1055	214
831	1055	213
832	1056	211
833	1056	210
834	1056	208
835	1057	207
836	1057	206
837	1058	204
838	1058	203
839	1059	201
840	1059	200
841	1060	198
842	1060	197
843	1061	196
844	1061	194
845	1061	193
846	1062	191
847	1062	190
848	1063	189
849	1063	187
850	1064	186
851	1064	184
852	1065	183
853	1065	182
854	1066	180
855	1066	179
856	1066	178
857	1067	176
858	1067	175
859	1068	173
860	1068	172
861	1069	171
862	1069	169
863	1070	168
864	1070	167
865	1070	165
866	1071	164
867	1071	162
868	1072	161
869	1072	160
870	1073	158
871	1073	157
872	1074	156
873	1074	154
874	1075	153
875	1075	152
876	1075	150
877	1076	149
878	1076	148
879	1077	146
880	1077	145
881	1078	144
882	1078	142
883	1079	141
884	1079	140
885	1080	138
886	1080	137
887	1081	136
888	1081	135
889	1082	133
890	1082	132
891	1083	131
892	1083	129
893	1084	128
894	1084	127
895	1084	125
896	1085	124
897	1085	123
898	1086	122
899	1086	120
900	1087	119
901	1087	118
902	1088	116
903	1088	115
904	1088	114
905	1089	113
906	1089	111
907	1090	110
908	1090	109
909	1091	107
910	1091	106
911	1092	105
912	1092	104
913	1093	102
914	1093	101
915	1093	100
916	1094	99
917	1094	97
918	1095	96
919	1095	95
920	1096	94
921	1100	93
922	1110	92
923	1110	91
924	1111	90
925	1111	88
926	1112	87
927	1112	86
928	1112	85
929	1113	83
930	1113	82
931	1114	81
932	1114	80
933	1115	78
934	1115	77
935	1116	76
936	1116	75
937	1116	73
938	1117	72
939	1117	71
940	1118	70
941	1118	68
942	1119	67
943	1119	66
944	1120	65
945	1120	63
946	1120	62
947	1121	61
948	1121	60
949	1122	59
950	1122	57
951	1123	56
952	1123	55
953	1124	54
954	1124	52
955	1124	51
956	1125	50
957	1125	49
958	1126	48
959	1126	46
960	1127	45
961	1127	44
962	1128	43
963	1128	42
964	1129	40
965	1129	39
966	1129	38
967	1130	37
968	1130	36
969	1131	34
970	1131	33
971	1132	32
972	1132	31
973	1133	30
974	1133	29
975	1133	27
976	1134	26
977	1134	25
978	1135	24
979	1135	23
980	1136	22
981	1136	20
982	1137	19
983	1137	18
984	1137	17
985	1138	16
986	1138	14
987	1139	13
988	1139	12
989	1140	11
990	1140	10
991	1141	9
992	1141	8
993	1141	6
994	1142	5
995	1142	4
996	1143	3
997	1143	2
998	1144	1
999	1144	0
